iter	Passed	Remaining
0	148	148017
1	148	74298
2	149	49704
3	150	37400
4	150	30017
5	151	25093
6	152	21575
7	152	18941
8	153	16888
9	153	15245
10	154	13902
11	155	12783
12	155	11835
13	156	11024
14	157	10320
15	157	9702
16	158	9159
17	159	8685
18	159	8255
19	160	7865
20	161	7512
21	161	7191
22	162	6898
23	163	6629
24	163	6383
25	164	6154
26	164	5943
27	165	5746
28	166	5562
29	166	5391
30	167	5231
31	167	5081
32	168	4941
33	169	4809
34	169	4684
35	170	4566
36	171	4454
37	171	4348
38	172	4247
39	173	4152
40	173	4060
41	174	3974
42	174	3891
43	175	3811
44	176	3736
45	176	3664
46	177	3595
47	177	3528
48	178	3464
49	179	3403
50	179	3344
51	180	3288
52	180	3233
53	181	3181
54	182	3131
55	182	3082
56	183	3035
57	184	2989
58	184	2946
59	185	2903
60	185	2862
61	186	2822
62	187	2785
63	187	2749
64	188	2714
65	189	2679
66	189	2645
67	190	2608
68	190	2575
69	191	2544
70	192	2514
71	192	2484
72	193	2455
73	194	2428
74	194	2400
75	195	2374
76	195	2347
77	196	2322
78	197	2297
79	197	2273
80	198	2249
81	198	2226
82	199	2204
83	200	2182
84	200	2158
85	201	2137
86	201	2115
87	202	2095
88	202	2075
89	203	2056
90	203	2037
91	204	2019
92	205	2001
93	205	1983
94	206	1966
95	207	1949
96	207	1932
97	208	1916
98	208	1900
99	209	1884
100	210	1869
101	210	1852
102	210	1837
103	211	1822
104	212	1808
105	212	1794
106	213	1780
107	213	1767
108	214	1754
109	215	1742
110	216	1730
111	216	1717
112	217	1705
113	217	1693
114	218	1681
115	218	1668
116	219	1657
117	220	1645
118	220	1634
119	221	1622
120	221	1612
121	222	1601
122	222	1588
123	223	1578
124	224	1568
125	224	1558
126	225	1548
127	225	1537
128	226	1527
129	226	1518
130	227	1509
131	228	1500
132	228	1491
133	229	1482
134	230	1473
135	230	1465
136	231	1456
137	231	1447
138	232	1439
139	232	1430
140	233	1422
141	234	1414
142	234	1406
143	235	1398
144	235	1391
145	236	1383
146	237	1376
147	237	1368
148	238	1361
149	238	1354
150	239	1347
151	240	1340
152	240	1333
153	241	1326
154	242	1319
155	242	1312
156	243	1306
157	244	1300
158	244	1293
159	245	1287
160	245	1281
161	246	1275
162	247	1269
163	247	1263
164	248	1257
165	249	1251
166	249	1245
167	250	1239
168	250	1233
169	251	1227
170	252	1222
171	252	1216
172	253	1210
173	253	1205
174	254	1199
175	255	1194
176	255	1189
177	256	1184
178	257	1179
179	257	1174
180	258	1167
181	258	1162
182	259	1157
183	259	1152
184	260	1147
185	261	1142
186	261	1138
187	262	1133
188	262	1128
189	263	1123
190	264	1119
191	264	1114
192	265	1109
193	266	1105
194	266	1101
195	267	1096
196	267	1092
197	268	1087
198	269	1083
199	269	1079
200	270	1075
201	271	1071
202	272	1068
203	272	1064
204	273	1059
205	274	1056
206	274	1052
207	275	1048
208	275	1044
209	276	1040
210	277	1036
211	277	1032
212	278	1028
213	279	1024
214	279	1021
215	280	1017
216	280	1013
217	281	1010
218	282	1006
219	282	1002
220	283	999
221	284	995
222	284	992
223	285	988
224	285	985
225	286	981
226	287	978
227	287	974
228	288	971
229	289	967
230	289	964
231	290	961
232	291	958
233	291	954
234	292	951
235	292	948
236	293	945
237	294	941
238	294	938
239	295	935
240	295	932
241	296	929
242	297	925
243	297	922
244	298	920
245	299	917
246	299	914
247	300	911
248	301	908
249	301	905
250	302	902
251	303	899
252	303	896
253	304	893
254	304	890
255	305	888
256	306	885
257	306	882
258	307	879
259	308	876
260	308	874
261	309	871
262	309	868
263	310	865
264	311	863
265	311	860
266	312	858
267	313	855
268	313	852
269	314	850
270	315	847
271	315	844
272	316	842
273	316	839
274	317	836
275	318	834
276	318	831
277	319	829
278	320	826
279	320	824
280	321	822
281	321	819
282	322	817
283	323	814
284	323	812
285	324	810
286	325	807
287	325	805
288	326	803
289	327	801
290	328	800
291	329	799
292	330	797
293	331	795
294	331	793
295	332	791
296	333	789
297	334	786
298	334	784
299	335	782
300	335	780
301	336	777
302	337	775
303	337	773
304	338	771
305	339	769
306	339	767
307	340	765
308	341	763
309	341	760
310	342	758
311	343	756
312	343	754
313	344	752
314	345	750
315	345	748
316	346	746
317	347	744
318	347	742
319	348	740
320	349	738
321	349	736
322	350	734
323	350	732
324	351	730
325	352	728
326	352	726
327	353	724
328	354	722
329	354	720
330	355	719
331	356	717
332	357	715
333	357	713
334	358	711
335	359	709
336	359	707
337	360	706
338	361	704
339	361	702
340	362	700
341	363	698
342	363	696
343	364	694
344	365	693
345	365	691
346	366	689
347	367	687
348	367	685
349	368	684
350	368	682
351	369	680
352	370	678
353	370	676
354	371	674
355	372	673
356	372	671
357	373	669
358	374	667
359	374	666
360	375	664
361	375	662
362	376	660
363	377	659
364	377	657
365	378	655
366	379	653
367	379	652
368	380	650
369	381	648
370	381	647
371	382	645
372	383	644
373	383	642
374	384	640
375	385	639
376	385	637
377	386	635
378	387	634
379	387	632
380	388	630
381	388	629
382	389	627
383	390	625
384	390	624
385	391	622
386	392	621
387	392	619
388	393	617
389	394	616
390	394	614
391	395	613
392	396	611
393	396	610
394	397	608
395	398	607
396	398	605
397	399	604
398	400	602
399	400	601
400	401	599
401	402	598
402	402	596
403	403	595
404	404	594
405	405	592
406	405	591
407	406	589
408	407	588
409	407	587
410	408	585
411	409	584
412	410	582
413	410	581
414	411	579
415	412	578
416	412	577
417	413	575
418	414	574
419	414	572
420	415	571
421	416	570
422	416	568
423	417	567
424	418	565
425	419	564
426	419	563
427	420	561
428	421	560
429	421	558
430	422	557
431	423	556
432	424	555
433	424	554
434	425	552
435	426	551
436	426	549
437	427	548
438	428	547
439	428	545
440	429	544
441	430	543
442	431	542
443	431	540
444	432	539
445	433	538
446	433	536
447	434	535
448	435	534
449	436	532
450	436	531
451	437	530
452	438	529
453	438	527
454	439	526
455	440	525
456	440	523
457	441	522
458	442	521
459	442	519
460	443	518
461	444	517
462	444	515
463	445	514
464	446	513
465	446	512
466	447	510
467	448	509
468	449	508
469	449	507
470	450	506
471	451	505
472	452	504
473	453	502
474	453	501
475	454	500
476	455	499
477	455	497
478	456	496
479	457	495
480	457	494
481	458	492
482	459	491
483	460	490
484	460	489
485	461	488
486	462	486
487	462	485
488	463	484
489	464	483
490	465	482
491	465	480
492	466	479
493	467	478
494	467	477
495	468	476
496	469	474
497	469	473
498	470	472
499	471	471
500	471	469
501	472	468
502	472	467
503	473	466
504	474	464
505	475	463
506	475	462
507	476	461
508	477	460
509	477	459
510	478	458
511	479	456
512	480	455
513	480	454
514	481	453
515	482	452
516	482	450
517	483	449
518	483	448
519	484	447
520	485	446
521	485	444
522	486	443
523	487	442
524	487	441
525	488	440
526	489	438
527	489	437
528	490	436
529	491	435
530	491	434
531	492	433
532	493	432
533	493	430
534	494	430
535	495	429
536	496	428
537	498	427
538	498	426
539	499	425
540	500	424
541	500	423
542	501	422
543	502	420
544	502	419
545	503	418
546	504	417
547	504	416
548	505	415
549	506	414
550	506	413
551	507	411
552	508	410
553	508	409
554	509	408
555	510	407
556	510	406
557	511	405
558	511	403
559	512	402
560	513	401
561	513	400
562	514	399
563	515	398
564	515	396
565	516	395
566	516	394
567	517	393
568	518	392
569	518	391
570	519	390
571	520	389
572	520	388
573	521	386
574	522	385
575	522	384
576	523	383
577	524	382
578	524	381
579	525	380
580	525	379
581	526	378
582	527	377
583	527	376
584	528	374
585	529	373
586	529	372
587	530	371
588	531	370
589	531	369
590	532	368
591	533	367
592	534	366
593	534	365
594	535	364
595	536	363
596	536	362
597	537	361
598	538	360
599	538	359
600	539	358
601	540	357
602	540	355
603	541	354
604	542	353
605	542	352
606	543	351
607	543	350
608	544	349
609	545	348
610	545	347
611	546	346
612	547	345
613	547	344
614	548	343
615	549	342
616	549	341
617	550	340
618	551	339
619	551	338
620	552	337
621	553	336
622	553	335
623	554	334
624	555	333
625	555	332
626	556	330
627	556	329
628	557	328
629	558	327
630	558	326
631	559	325
632	559	324
633	560	323
634	561	322
635	562	321
636	562	320
637	563	319
638	564	318
639	564	317
640	565	316
641	566	315
642	566	314
643	567	313
644	568	312
645	568	311
646	569	310
647	570	309
648	570	308
649	571	307
650	572	306
651	572	305
652	573	304
653	574	303
654	574	302
655	575	301
656	576	300
657	576	299
658	577	298
659	577	297
660	578	296
661	579	295
662	579	294
663	580	293
664	581	292
665	581	291
666	582	290
667	583	289
668	583	288
669	584	287
670	584	286
671	585	285
672	586	284
673	586	283
674	587	282
675	588	281
676	588	281
677	589	280
678	590	279
679	591	278
680	591	277
681	592	276
682	592	275
683	593	274
684	594	273
685	595	272
686	596	271
687	597	270
688	598	270
689	599	269
690	599	268
691	600	267
692	601	266
693	602	265
694	603	264
695	603	263
696	604	262
697	605	261
698	605	260
699	606	259
700	607	259
701	608	258
702	608	257
703	609	256
704	610	255
705	610	254
706	611	253
707	612	252
708	612	251
709	613	250
710	614	249
711	614	248
712	615	247
713	616	246
714	616	245
715	617	244
716	618	243
717	618	243
718	619	242
719	620	241
720	620	240
721	621	239
722	622	238
723	622	237
724	623	236
725	624	235
726	624	234
727	625	233
728	625	232
729	626	231
730	627	230
731	627	229
732	628	228
733	629	228
734	629	227
735	630	226
736	631	225
737	632	224
738	632	223
739	633	222
740	634	221
741	634	220
742	635	219
743	635	218
744	636	217
745	637	216
746	637	216
747	638	215
748	639	214
749	639	213
750	640	212
751	641	211
752	641	210
753	642	209
754	643	208
755	643	207
756	644	206
757	645	206
758	645	205
759	646	204
760	647	203
761	647	202
762	648	201
763	649	200
764	649	199
765	650	198
766	651	197
767	651	196
768	652	196
769	653	195
770	653	194
771	654	193
772	655	192
773	655	191
774	656	190
775	657	189
776	657	188
777	658	187
778	659	187
779	660	186
780	660	185
781	661	184
782	662	183
783	662	182
784	663	181
785	663	180
786	664	179
787	665	178
788	665	178
789	666	177
790	667	176
791	667	175
792	668	174
793	669	173
794	669	172
795	670	171
796	671	170
797	671	170
798	672	169
799	673	168
800	673	167
801	674	166
802	675	165
803	676	164
804	676	163
805	677	163
806	678	162
807	678	161
808	679	160
809	680	159
810	680	158
811	681	157
812	681	156
813	682	156
814	683	155
815	683	154
816	684	153
817	685	152
818	685	151
819	686	150
820	687	149
821	687	148
822	688	148
823	689	147
824	689	146
825	690	145
826	691	144
827	691	143
828	692	142
829	693	141
830	693	141
831	694	140
832	695	139
833	695	138
834	696	137
835	697	136
836	697	135
837	698	134
838	698	134
839	699	133
840	700	132
841	700	131
842	701	130
843	702	129
844	702	128
845	703	128
846	704	127
847	704	126
848	705	125
849	706	124
850	706	123
851	707	122
852	707	122
853	708	121
854	709	120
855	709	119
856	710	118
857	711	117
858	711	116
859	712	115
860	713	115
861	713	114
862	714	113
863	715	112
864	715	111
865	716	110
866	717	110
867	717	109
868	718	108
869	719	107
870	719	106
871	720	105
872	721	104
873	721	104
874	722	103
875	723	102
876	723	101
877	724	100
878	724	99
879	725	98
880	726	98
881	726	97
882	727	96
883	728	95
884	728	94
885	729	93
886	730	93
887	730	92
888	731	91
889	732	90
890	732	89
891	733	88
892	734	87
893	734	87
894	735	86
895	736	85
896	736	84
897	737	83
898	737	82
899	738	82
900	739	81
901	739	80
902	740	79
903	741	78
904	741	77
905	742	77
906	743	76
907	743	75
908	744	74
909	745	73
910	745	72
911	746	72
912	747	71
913	747	70
914	748	69
915	749	68
916	749	67
917	750	67
918	751	66
919	751	65
920	752	64
921	752	63
922	753	62
923	754	62
924	754	61
925	755	60
926	756	59
927	756	58
928	757	57
929	758	57
930	758	56
931	759	55
932	760	54
933	760	53
934	761	52
935	761	52
936	762	51
937	763	50
938	763	49
939	764	48
940	765	47
941	765	47
942	766	46
943	766	45
944	767	44
945	768	43
946	768	43
947	769	42
948	770	41
949	771	40
950	771	39
951	772	38
952	773	38
953	773	37
954	774	36
955	775	35
956	776	34
957	776	34
958	777	33
959	777	32
960	778	31
961	779	30
962	779	29
963	780	29
964	781	28
965	781	27
966	782	26
967	783	25
968	783	25
969	784	24
970	785	23
971	785	22
972	786	21
973	787	21
974	787	20
975	788	19
976	789	18
977	789	17
978	790	16
979	791	16
980	791	15
981	792	14
982	793	13
983	793	12
984	794	12
985	794	11
986	795	10
987	796	9
988	796	8
989	797	8
990	798	7
991	799	6
992	799	5
993	800	4
994	801	4
995	801	3
996	802	2
997	803	1
998	803	0
999	804	0
